store,date,gap_start,gap_end,gap_minutes,revenue_during_gap
КПК,2026-04-04,2026-04-04 15:28:10.916945,2026-04-04 18:21:18.521998,173,1500
КПК,2026-04-04,2026-04-04 12:27:01.566664,2026-04-04 14:03:39.879368,97,350
КПК,2026-04-05,2026-04-05 15:44:12.026154,2026-04-05 17:40:51.701559,117,1500
КПК,2026-04-05,2026-04-05 14:16:56.258818,2026-04-05 15:44:12.026154,87,320
КПК,2026-04-06,2026-04-06 12:30:53.838868,2026-04-06 15:42:26.347666,192,0
КПК,2026-04-06,2026-04-06 15:42:26.347666,2026-04-06 17:05:00.573726,83,350
КПК,2026-04-07,2026-04-07 14:57:36.045972,2026-04-07 17:26:06.989389,149,400
КПК,2026-04-07,2026-04-07 12:45:41.461417,2026-04-07 14:57:36.045972,132,0
КПК,2026-04-08,2026-04-08 13:23:36.825323,2026-04-08 18:04:36.664985,281,550
НОВО КП,2026-04-01,2026-04-01 14:08:38.758297,2026-04-01 16:14:11.721081,126,3350
НОВО КП,2026-04-01,2026-04-01 18:41:05.261697,2026-04-01 20:00:40.690877,80,1600
НОВО КП,2026-04-02,2026-04-02 15:25:06.999707,2026-04-02 16:36:51.839519,72,350
НОВО КП,2026-04-03,2026-04-03 16:49:50.163085,2026-04-03 18:54:51.399944,125,3600
НОВО КП,2026-04-04,2026-04-04 10:12:02.430288,2026-04-04 11:41:49.268922,90,375
НОВО КП,2026-04-04,2026-04-04 15:57:38.578194,2026-04-04 17:21:15.318833,84,10000
НОВО КП,2026-04-04,2026-04-04 18:06:14.378933,2026-04-04 19:30:26.884687,84,7650
НОВО КП,2026-04-04,2026-04-04 13:20:51.074379,2026-04-04 14:41:03.010031,80,3650
НОВО КП,2026-04-05,2026-04-05 16:55:04.998262,2026-04-05 19:17:05.668453,142,1450
НОВО КП,2026-04-05,2026-04-05 14:07:52.414278,2026-04-05 16:00:36.974366,113,4070
НОВО КП,2026-04-05,2026-04-05 11:14:00.669869,2026-04-05 12:46:52.475384,93,2100
НОВО КП,2026-04-05,2026-04-05 12:59:44.190238,2026-04-05 14:07:52.414278,68,500
НОВО КП,2026-04-06,2026-04-06 12:50:22.922089,2026-04-06 16:13:54.640166,204,1850
НОВО КП,2026-04-06,2026-04-06 16:13:54.640166,2026-04-06 17:51:10.500163,97,600
НОВО КП,2026-04-07,2026-04-07 13:42:33.759989,2026-04-07 15:12:08.501061,90,650
НОВО КП,2026-04-07,2026-04-07 17:20:39.556086,2026-04-07 18:41:45.217783,81,1050
НОВО КП,2026-04-08,2026-04-08 11:01:48.282909,2026-04-08 12:52:15.203781,110,0
НОВО КП,2026-04-08,2026-04-08 14:43:03.725359,2026-04-08 16:33:21.860348,110,2930
НОВО КП,2026-04-08,2026-04-08 19:56:08.326393,2026-04-08 21:20:08.822382,84,550
НОВО КП,2026-04-08,2026-04-08 18:39:17.479883,2026-04-08 19:56:08.326393,77,1830
НОВО КП,2026-04-08,2026-04-08 17:23:04.871207,2026-04-08 18:25:34.737353,62,350
НОВО КП,2026-04-09,2026-04-09 15:39:19.690418,2026-04-09 17:04:50.567972,86,750
НОВО КП,2026-04-09,2026-04-09 17:51:37.159757,2026-04-09 18:57:43.939648,66,350
НОВО КП,2026-04-10,2026-04-10 13:57:15.373420,2026-04-10 15:44:36.157851,107,750
НОВО КП,2026-04-10,2026-04-10 17:10:05.524987,2026-04-10 18:29:28.291694,79,0
НОВО КП,2026-04-10,2026-04-10 18:43:25.455114,2026-04-10 19:48:52.233096,65,250
ОЗМОЛЛ,2026-04-01,2026-04-01 16:42:31.616028,2026-04-01 18:15:27.694427,93,0
ОЗМОЛЛ,2026-04-01,2026-04-01 14:44:32.076897,2026-04-01 15:44:50.237300,60,650
ОЗМОЛЛ,2026-04-02,2026-04-02 13:36:17.298846,2026-04-02 20:10:37.782598,394,10280
ОЗМОЛЛ,2026-04-03,2026-04-03 17:09:18.846749,2026-04-03 19:58:32.265057,169,2200
ОЗМОЛЛ,2026-04-03,2026-04-03 10:35:38.115721,2026-04-03 12:38:36.109944,123,0
ОЗМОЛЛ,2026-04-03,2026-04-03 14:20:37.787859,2026-04-03 15:44:08.823438,84,1400
ОЗМОЛЛ,2026-04-04,2026-04-04 13:59:26.965799,2026-04-04 15:51:59.824396,113,2260
ОЗМОЛЛ,2026-04-05,2026-04-05 17:38:49.542879,2026-04-05 19:51:40.526478,133,550
ОЗМОЛЛ,2026-04-05,2026-04-05 13:04:44.496108,2026-04-05 14:36:04.983392,91,2580
ОЗМОЛЛ,2026-04-05,2026-04-05 14:36:04.983392,2026-04-05 15:46:17.006025,70,720
ОЗМОЛЛ,2026-04-05,2026-04-05 15:46:17.006025,2026-04-05 16:48:56.972940,63,1050
ОЗМОЛЛ,2026-04-06,2026-04-06 15:12:26.205997,2026-04-06 18:25:43.746709,193,1710
ОЗМОЛЛ,2026-04-07,2026-04-07 11:46:01.880697,2026-04-07 15:18:47.307966,213,650
ОЗМОЛЛ,2026-04-07,2026-04-07 16:10:57.666874,2026-04-07 19:13:21.279466,182,3305
ОЗМОЛЛ,2026-04-09,2026-04-09 15:14:55.367594,2026-04-09 21:41:07.864181,386,1650
ОЗМОЛЛ,2026-04-09,2026-04-09 11:57:37.860972,2026-04-09 13:50:33.487144,113,0
ОЗМОЛЛ,2026-04-09,2026-04-09 13:50:33.487144,2026-04-09 15:14:55.367594,84,0
ОЗМОЛЛ,2026-04-10,2026-04-10 14:16:09.709498,2026-04-10 17:11:03.061850,175,500
ОЗМОЛЛ,2026-04-10,2026-04-10 12:39:53.273392,2026-04-10 14:16:09.709498,96,0
СОВЕТОВ,2026-04-01,2026-04-01 19:38:46.819760,2026-04-01 21:08:48.036539,90,0
СОВЕТОВ,2026-04-01,2026-04-01 15:43:03.614266,2026-04-01 17:08:28.525609,85,450
СОВЕТОВ,2026-04-02,2026-04-02 16:01:44.357909,2026-04-02 17:21:58.702465,80,250
СОВЕТОВ,2026-04-03,2026-04-03 15:47:36.390947,2026-04-03 18:22:15.665277,155,360
СОВЕТОВ,2026-04-03,2026-04-03 18:22:15.665277,2026-04-03 20:28:23.048052,126,0
СОВЕТОВ,2026-04-03,2026-04-03 12:06:45.889407,2026-04-03 14:08:09.340317,121,610
СОВЕТОВ,2026-04-03,2026-04-03 14:35:17.009032,2026-04-03 15:47:36.390947,72,0
СОВЕТОВ,2026-04-04,2026-04-04 18:29:19.641387,2026-04-04 20:55:16.201176,146,0
СОВЕТОВ,2026-04-05,2026-04-05 17:57:18.609380,2026-04-05 21:08:27.680889,191,820
СОВЕТОВ,2026-04-05,2026-04-05 14:29:39.792246,2026-04-05 16:14:32.356300,105,1410
СОВЕТОВ,2026-04-05,2026-04-05 13:02:40.113644,2026-04-05 14:29:39.792246,87,1450
СОВЕТОВ,2026-04-05,2026-04-05 16:29:07.644023,2026-04-05 17:56:30.772069,87,360
СОВЕТОВ,2026-04-06,2026-04-06 17:28:20.467261,2026-04-06 20:31:43.794113,183,0
СОВЕТОВ,2026-04-06,2026-04-06 14:37:25.982492,2026-04-06 16:06:33.469959,89,1050
СОВЕТОВ,2026-04-07,2026-04-07 18:05:22.211570,2026-04-07 20:51:43.009120,166,390
СОВЕТОВ,2026-04-08,2026-04-08 15:54:30.521543,2026-04-08 17:27:22.249989,93,0
СОВЕТОВ,2026-04-08,2026-04-08 17:27:22.249989,2026-04-08 18:41:57.597000,75,0
СОВЕТОВ,2026-04-08,2026-04-08 18:41:57.597000,2026-04-08 19:52:02.334949,70,0
СОВЕТОВ,2026-04-10,2026-04-10 18:54:07.219629,2026-04-10 21:13:00.359733,139,350
СОВЕТОВ,2026-04-10,2026-04-10 15:47:59.524725,2026-04-10 17:20:15.046185,92,500
СОВЕТОВ,2026-04-10,2026-04-10 17:20:15.046185,2026-04-10 18:23:00.811956,63,0
ЧЕРНОМОРСКИЙ,2026-04-01,2026-04-01 19:03:30.684105,2026-04-01 21:31:14.967924,148,1960
ЧЕРНОМОРСКИЙ,2026-04-03,2026-04-03 16:37:51.452415,2026-04-03 18:14:00.346479,96,0
ЧЕРНОМОРСКИЙ,2026-04-04,2026-04-04 15:14:10.257102,2026-04-04 18:23:20.909779,189,0
ЧЕРНОМОРСКИЙ,2026-04-06,2026-04-06 15:53:15.083932,2026-04-06 18:28:48.614942,156,0
ЧЕРНОМОРСКИЙ,2026-04-08,2026-04-08 14:23:43.289160,2026-04-08 15:43:06.764706,79,0
ЧЕРНОМОРСКИЙ,2026-04-09,2026-04-09 13:34:58.979974,2026-04-09 18:23:56.671397,289,500
ЧЕРНОМОРСКИЙ,2026-04-09,2026-04-09 18:23:56.671397,2026-04-09 19:45:06.284591,81,0
ЧЕРНОМОРСКИЙ,2026-04-10,2026-04-10 13:43:39.690630,2026-04-10 16:31:26.064912,168,0
ЧЕРНОМОРСКИЙ,2026-04-10,2026-04-10 16:31:26.064912,2026-04-10 18:56:59.286673,146,200
ЧЕРНОМОРСКИЙ,2026-04-10,2026-04-10 12:22:37.936205,2026-04-10 13:43:39.690630,81,0
